Date,Land Area,Price per m2,Price Total,Subdistrict,Regency,Land Area Category
2024-04-29,2800.0,4500000.0,12600000000.0,Ubud,Gianyar,large
2024-04-29,450.0,6500000.0,2925000000.0,Jimbaran,Badung,medium
2024-04-22,1000.0,16000000.0,16000000000.0,Kerobokan,Badung,medium
2024-04-29,338.0,4000000.0,1352000000.0,Kapal,Badung,medium
2024-04-29,328.0,13000000.0,4264000000.0,Pererenan,Badung,medium
2024-02-29,1620.0,15000000.0,24300000000.0,Legian,Badung,large
2024-04-29,145.0,3793103.4482758623,550000000.0,Kediri,Tabanan,small
2024-04-29,280.0,3500000.0,980000000.0,Denpasar Utara,Denpasar,small
2024-04-29,1200.0,5500000.0,6600000000.0,Pecatu,Badung,medium
2024-04-29,145.0,3793103.4482758623,550000000.0,Kediri,Tabanan,small
2024-04-29,295.0,6500000.0,1917500000.0,Denpasar Timur,Denpasar,small
2024-04-25,60.0,4750000.0,285000000.0,Sempidi,Badung,small
2024-04-29,870.0,17241379.310344826,15000000000.0,Kuta,Badung,medium
2024-04-29,832.0,6995192.307692308,5820000000.0,Kerobokan,Badung,medium
2024-04-29,500.0,17000000.0,8500000000.0,Renon,Denpasar,medium
2024-04-29,958.0,4175365.344467641,4000000000.0,Tanjung Benoa,Badung,medium
2024-04-29,400.0,6850000.0,2740000000.0,Canggu,Badung,medium
2024-04-29,510.0,4000000.0,2040000000.0,Darmasaba,Badung,medium
2024-04-29,488.0,7172131.147540984,3500000000.0,Sanur,Denpasar,medium
2024-04-29,830.0,5036144.578313253,4179999999.9999995,Canggu,Badung,medium
2024-04-29,600.0,6600000.0,3960000000.0,Canggu,Badung,medium
2024-04-29,1150.0,5000000.0,5750000000.0,Dawan,Klungkung,medium
2024-04-29,450.0,15000000.0,6750000000.0,Canggu,Badung,medium
2024-04-29,1500.0,4500000.0,6750000000.0,Jimbaran,Badung,medium
2024-04-29,300.0,5333333.333333333,1600000000.0,Ungasan,Badung,small
2024-04-29,200.0,6850000.0,1370000000.0,Munggu,Badung,small
2024-04-29,600.0,13000000.0,7800000000.0,Kerobokan,Badung,medium
2024-04-29,530.0,8792452.830188679,4660000000.0,Pererenan,Badung,medium
2024-04-29,2900.0,551724.1379310344,1600000000.0,Kuta,Badung,large
2024-04-29,540.0,3500000.0,1890000000.0,Kemenuh,Gianyar,medium
2024-04-29,2000.0,11000000.0,22000000000.0,Uluwatu,Badung,large
2024-04-29,2500.0,2000000.0,5000000000.0,Cepaka,Tabanan,large
2024-04-29,292.0,7500000.0,2190000000.0,Sidakarya,Denpasar,small
2024-04-29,129.0,7000000.0,903000000.0,Denpasar Selatan,Denpasar,small
2024-04-29,1700.0,15000000.0,25500000000.0,Denpasar Timur,Denpasar,large
2024-02-29,450.0,8750000.0,3937500000.0,Renon,Denpasar,medium
2024-04-29,1230.0,8000000.0,9840000000.0,Canggu,Badung,medium
2024-04-29,1370.0,10948905.109489052,15000000000.0,Ubud,Gianyar,medium
2024-04-29,300.0,4500000.0,1350000000.0,Pecatu,Badung,small
2024-04-29,205.0,5750000.0,1178750000.0,Denpasar Barat,Denpasar,small
2024-04-29,500.0,7450000.0,3725000000.0,Jimbaran,Badung,medium
2024-04-29,600.0,13500000.0,8100000000.0,Renon,Denpasar,medium
2024-04-29,850.0,12000000.0,10200000000.0,Pecatu,Badung,medium
2024-04-29,270.0,4000000.0,1080000000.0,Benoa,Badung,small
2024-04-29,430.0,3750000.0,1612500000.0,Ketewel,Gianyar,medium
2024-04-28,3440.0,1100000.0,3784000000.0,Ubud,Gianyar,large
2024-04-29,414.0,8750000.0,3622500000.0,Sanur,Denpasar,medium
2024-04-29,960.0,7500000.0,7200000000.0,Denpasar Barat,Denpasar,medium
2024-04-29,600.0,1500000.0,900000000.0,Ubud,Gianyar,medium
2024-04-29,250.0,12500000.0,3125000000.0,Kerobokan,Badung,small
2024-04-29,443.0,11986455.981941309,5310000000.0,Pererenan,Badung,medium
2024-04-29,800.0,3500000.0,2800000000.0,Baktiseraga,Buleleng,medium
2024-04-01,1000.0,2500000.0,2500000000.0,Ubud,Gianyar,medium
2024-04-15,1600.0,2650000.0,4240000000.0,Ubud,Gianyar,large
2024-04-29,401.0,6500000.0,2606500000.0,Ubud,Gianyar,medium
2024-02-29,222.0,5180180.18018018,1150000000.0,Ubud,Gianyar,small
2024-04-29,295.0,7000000.0,2065000000.0,Gatot Subroto,Denpasar,small
2024-04-29,100.0,1250000.0,125000000.0,Busungbiu,Buleleng,small
2024-03-30,100.0,1950000.0,195000000.0,Pering,Gianyar,small
2024-04-29,600.0,16000000.0,9600000000.0,Nyanyi,Badung,medium
2024-04-29,300.0,5000000.0,1500000000.0,Nusa Dua,Badung,small
2024-04-29,600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar,medium
2023-12-01,200.0,9000000.0,1800000000.0,Canggu,Badung,small
2024-04-29,600.0,16000000.0,9600000000.0,Nyanyi,Badung,medium
2024-04-29,600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar,medium
2024-04-27,986.0,15000000.0,14790000000.0,Pecatu,Badung,medium
2024-04-29,187.0,2272727.272727273,425000000.0,Denpasar Timur,Denpasar,small
2024-04-29,990.0,7000000.0,6930000000.0,Padangsambian Kaja,Denpasar,medium
2024-04-29,5780.0,302768.1660899654,1750000000.0,Amed,Karangasem,large
2024-04-29,400.0,5500000.0,2200000000.0,Sidakarya,Denpasar,medium
2023-12-31,1000.0,10000000.0,10000000000.0,Renon,Denpasar,medium
2024-04-29,2135.0,3498829.0398126463,7470000000.0,Puri Gading,Badung,large
2024-04-29,520.0,9500000.0,4940000000.0,Renon,Denpasar,medium
2024-04-29,300.0,18000000.0,5400000000.0,Canggu,Badung,small
2024-04-01,150.0,8000000.0,1200000000.0,Sanur,Denpasar,small
2024-04-29,210.0,6500000.0,1365000000.0,Dalung,Badung,small
2024-04-29,145.0,3793103.4482758623,550000000.0,Kediri,Tabanan,small
2024-04-01,450.0,3733333.3333333335,1680000000.0,Goa Gong,Badung,medium
2024-04-25,150.0,3000000.0,450000000.0,Mengwi,Badung,small
2024-04-29,600.0,7500000.0,4500000000.0,Pemecutan Kaja,Denpasar,medium
2024-04-29,990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar,medium
2024-04-29,145.0,3793103.4482758623,550000000.0,Banjaranyar,Tabanan,small
2024-04-29,6438.0,1693072.3827275552,10900000000.0,Taro,Gianyar,large
2024-04-29,990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar,medium
2024-03-30,100.0,2900000.0,290000000.0,Kediri,Tabanan,small
2024-04-29,529.0,3500000.0,1851500000.0,Ungasan,Badung,medium
2024-04-23,145.0,15000000.0,2175000000.0,Canggu,Badung,small
2024-04-22,407.0,4500000.0,1831500000.0,Jimbaran,Badung,medium
2024-04-25,240.0,9500000.0,2280000000.0,Canggu,Badung,small
2024-01-30,600.0,7000000.0,4200000000.0,Jimbaran,Badung,medium
2024-03-30,400.0,7000000.0,2800000000.0,Canggu,Badung,medium
2024-04-29,3800.0,6578947.368421053,25000000000.0,Umalas,Badung,large
2024-04-26,500.0,18000000.0,9000000000.0,Canggu,Badung,medium
2024-03-30,1600.0,281250.0,450000000.0,Selemadeg,Tabanan,large
2024-03-30,2000.0,5500000.0,11000000000.0,Kerambitan,Tabanan,large
2024-03-30,5500.0,2850000.0,15675000000.0,Kerambitan,Tabanan,large
2024-04-15,2825.0,998230.0884955752,2820000000.0,Tangguntiti,Tabanan,large
2024-04-28,400.0,8500000.0,3400000000.0,Canggu,Badung,medium
2024-04-22,1200.0,8000000.0,9600000000.0,Kuta,Badung,medium
2024-04-28,150.0,10000000.0,1500000000.0,Munggu,Badung,small
2024-04-28,129.0,7000000.0,903000000.0,Sesetan,Denpasar,small
2024-04-08,4300.0,5000000.0,21500000000.0,Pererenan,Badung,large
2024-03-30,590.0,8750000.0,5162500000.0,Cemagi,Badung,medium
2024-04-25,513.0,6750000.0,3462750000.0,Padangsambian Kelod,Denpasar,medium
2024-04-01,1200.0,5458333.333333333,6550000000.0,Pererenan,Badung,medium
2024-03-30,1080.0,6750000.0,7290000000.0,Denpasar Barat,Denpasar,medium
2024-04-28,145.0,3793103.4482758623,550000000.0,Tanah Lot,Tabanan,small
2024-04-22,590.0,15000000.0,8850000000.0,Cemagi,Badung,medium
2024-03-30,4900.0,1300000.0,6370000000.0,Bedugul,Tabanan,large
2024-03-30,2000.0,2750.0,5500000.0,Kerambitan,Tabanan,large
2024-03-30,400.0,1650000.0,660000000.0,Kerambitan,Tabanan,medium
2024-03-30,1500.0,1650000.0,2475000000.0,Kerambitan,Tabanan,medium
2024-02-29,950.0,3200000.0,3040000000.0,Kelating,Tabanan,medium
2024-02-29,200.0,1100000.0,220000000.0,Kalibubuk,Buleleng,small
2024-04-26,412.0,10000000.0,4120000000.0,Canggu,Badung,medium
2024-03-30,2000.0,4750000.0,9500000000.0,Kerambitan,Tabanan,large
2024-03-30,1200.0,1700000.0,2040000000.0,Bedugul,Tabanan,medium
2024-04-15,710.0,10000000.0,7100000000.0,Ubud,Gianyar,medium
2024-04-28,700.0,8000000.0,5600000000.0,Mumbul,Badung,medium
2024-04-28,3000.0,5000000.0,15000000000.0,Jimbaran,Badung,large
2024-04-28,600.0,13500000.0,8100000000.0,Renon,Denpasar,medium
2024-04-28,730.0,12000000.0,8760000000.0,Umalas,Badung,medium
2024-04-28,462.0,4000000.0,1848000000.0,Ungasan,Badung,medium
2024-01-30,2000.0,9000000.0,18000000000.0,Ungasan,Badung,large
2024-04-25,450.0,4000000.0,1800000000.0,Pemogan,Denpasar,medium
2024-04-28,600.0,16000000.0,9600000000.0,Beraban,Tabanan,medium
2024-04-28,200.0,4750000.0,950000000.0,Kediri,Tabanan,small
2024-04-28,250.0,5890000.0,1472500000.0,Ketewel,Gianyar,small
2024-04-28,150.0,7750000.0,1162500000.0,Kerobokan,Badung,small
2024-04-28,435.0,6896551.724137931,3000000000.0,Denpasar Barat,Denpasar,medium
2024-04-28,600.0,16000000.0,9600000000.0,Nyanyi,Badung,medium
2024-04-28,855.0,6250000.0,5343750000.0,Denpasar Barat,Denpasar,medium
2024-04-24,100.0,4000000.0,400000000.0,Goa Gong,Badung,small
2024-04-28,1540.0,5500000.0,8470000000.0,Nusa Dua,Badung,large
2024-04-28,990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar,medium
2024-04-28,3800.0,3900000.0,14820000000.0,Gianyar,Gianyar,large
2024-03-30,1100.0,2150000.0,2365000000.0,Kubutambahan,Buleleng,medium
2024-04-28,3500.0,1500000.0,5250000000.0,Kelating,Tabanan,large
2024-02-29,2000.0,8500000.0,17000000000.0,Kesiman,Denpasar,large
2024-04-28,500.0,5000000.0,2500000000.0,Kediri,Tabanan,medium
2024-04-28,100.0,4550000.0,455000000.0,Sading,Badung,small
2024-04-28,800.0,6500000.0,5200000000.0,Jimbaran,Badung,medium
2024-04-28,600.0,16000000.0,9600000000.0,Nyanyi,Badung,medium
2024-01-30,850.0,4500000.0,3825000000.0,Ungasan,Badung,medium
2024-02-29,583.0,9750000.0,5684250000.0,Ungasan,Badung,medium
2024-03-30,800.0,6500000.0,5200000000.0,Ungasan,Badung,medium
2024-04-08,200.0,4500000.0,900000000.0,Ungasan,Badung,small
2024-04-08,1825.0,5500000.0,10037500000.0,Ungasan,Badung,large
2024-01-30,700.0,3500000.0,2450000000.0,Ungasan,Badung,medium
2024-04-28,410.0,6300000.0,2583000000.0,Nusa Dua,Badung,medium
2024-04-28,600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar,medium
2024-04-28,240.0,9500000.0,2280000000.0,Canggu,Badung,small
2024-04-28,346.0,7300000.0,2525800000.0,Pecatu,Badung,medium
2024-04-28,420.0,13000000.0,5460000000.0,Denpasar Barat,Denpasar,medium
2024-04-28,600.0,16000000.0,9600000000.0,Beraban,Tabanan,medium
2024-04-28,600.0,16000000.0,9600000000.0,Beraban,Tabanan,medium
2024-04-28,100.0,3750000.0,375000000.0,Ungasan,Badung,small
2024-04-28,400.0,3600000.0,1440000000.0,Ungasan,Badung,medium
2024-04-28,3800.0,4500000.0,17100000000.0,Gianyar,Gianyar,large
2024-04-28,1060.0,12500000.0,13250000000.0,Denpasar Barat,Denpasar,medium
2024-04-28,312.0,2850000.0,889200000.0,Ubud,Gianyar,medium
2024-03-30,330.0,2727272.727272727,900000000.0,Kerambitan,Tabanan,medium
2024-03-30,1400.0,8750000.0,12250000000.0,Canggu,Badung,medium
2023-12-31,410.0,6000000.0,2460000000.0,Nusa Dua,Badung,medium
2024-04-28,1700.0,3000000.0,5100000000.0,Klungkung Kota,Klungkung,large
2024-03-30,412.0,10000000.0,4120000000.0,Canggu,Badung,medium
2024-04-15,230.0,4347826.0869565215,1000000000.0,Jimbaran,Badung,small
2024-04-15,246.0,5500000.0,1353000000.0,Jimbaran,Badung,small
2024-04-28,600.0,15000000.0,9000000000.0,Jimbaran,Badung,medium
2024-04-28,115.0,7000000.0,805000000.0,Tonja,Denpasar,small
2023-12-31,680.0,10800000.0,7344000000.0,Seminyak,Badung,medium
2024-02-29,650.0,5000000.0,3250000000.0,Belalang,Tabanan,medium
2024-04-27,200.0,13000000.0,2600000000.0,Renon,Denpasar,small
2024-04-28,350.0,4750000.0,1662500000.0,Mengwi,Badung,medium
2024-04-28,600.0,16000000.0,9600000000.0,Nyanyi,Badung,medium
2024-04-28,600.0,6500000.0,3900000000.0,Mumbul,Badung,medium
2024-04-28,2.0,10000000.0,20000000.0,Denpasar Selatan,Denpasar,small
2024-04-28,300.0,3733333.3333333335,1120000000.0,Jimbaran,Badung,small
2024-04-28,100.0,7500000.0,750000000.0,Sidakarya,Denpasar,small
2024-04-28,600.0,16000000.0,9600000000.0,Nyanyi,Badung,medium
2024-04-28,240.0,7500000.0,1800000000.0,Kesiman,Denpasar,small
2024-04-28,900.0,3750000.0,3375000000.0,Jimbaran,Badung,medium
2024-04-28,300.0,4000000.0,1200000000.0,Jimbaran,Badung,small
2024-04-28,1500.0,15000000.0,22500000000.0,Pecatu,Badung,medium
2024-04-28,100.0,5850000.0,585000000.0,Lukluk,Badung,small
2024-04-28,500.0,16000000.0,8000000000.0,Pecatu,Badung,medium
2024-04-28,1975.0,14987341.772151899,29600000000.0,Pecatu,Badung,large
2024-04-28,400.0,8500000.0,3400000000.0,Canggu,Badung,medium
2024-04-28,680.0,10455882.352941176,7110000000.0,Ubud,Gianyar,medium
2024-04-28,3000.0,6000000.0,18000000000.0,Sukawati,Gianyar,large
2024-04-28,2580.0,4950000.0,12771000000.0,Benoa,Badung,large
2024-04-28,400.0,5500000.0,2200000000.0,Uluwatu,Badung,medium
2024-04-28,600.0,16000000.0,9600000000.0,Nyanyi,Badung,medium
2024-04-28,210.0,4404761.904761905,925000000.0,Benoa,Badung,small
2024-04-28,200.0,4750000.0,950000000.0,Benoa,Badung,small
2024-04-28,250.0,3900000.0,975000000.0,Nusa Dua,Badung,small
2024-04-28,600.0,16000000.0,9600000000.0,Beraban,Tabanan,medium
